customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_numeric,TotalServices,TenureGroup,AvgMonthlySpend,SupportCount,SpendTrend,tenure_score,charges_score,services_score,value_score,ValueTier,ChurnProbability,RiskCategory
7590-VHVEG,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,29.85,0,0,1,3,29.85,0,0.0,0,0,0,0,Low,0.6342753925630455,Medium Risk
5575-GNVDE,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5,0,0,3,1,55.5735294117647,2,1.3764705882352999,1,1,1,3,Medium,0.04707641853574436,Low Risk
3668-QPYBK,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,1,3,3,54.075,1,-0.22500000000000142,0,1,1,2,Low,0.32585409461885034,Medium Risk
7795-CFOCW,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1840.75,0,0,3,1,40.90555555555556,3,1.3944444444444386,1,0,1,2,Low,0.032749825424750696,Low Risk
9237-HQITU,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,1,1,3,75.825,0,-5.125,0,1,0,1,Low,0.7022648866233469,High Risk
9305-CDSKC,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,1,5,3,102.5625,1,-2.9124999999999943,0,2,2,4,Medium,0.8258174792949834,High Risk
1452-KIOVK,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1949.4,0,0,4,0,88.60909090909091,0,0.49090909090908497,1,2,1,4,Medium,0.4450080523203211,Medium Risk
6713-OKOMC,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,301.9,0,0,1,3,30.189999999999998,1,-0.4399999999999977,0,0,0,0,Low,0.42287206943799766,Medium Risk
7892-POOKP,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,1,1,6,1,108.78750000000001,2,-3.9875000000000114,1,2,2,5,High,0.5838697410370624,Medium Risk
6388-TABGU,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3487.95,0,0,3,2,56.25725806451613,1,-0.10725806451613096,2,1,1,4,Medium,0.011533924610504868,Low Risk
9763-GRSKD,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,587.45,0,0,2,0,45.18846153846154,1,4.761538461538464,0,0,0,0,Low,0.15095605932541567,Low Risk
7469-LKBCI,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,326.8,0,0,1,0,20.425,0,-1.4750000000000014,1,0,0,1,Low,0.015400156787009258,Low Risk
8091-TTVAX,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5681.1,0,0,5,2,97.95,1,2.3999999999999915,2,2,2,6,High,0.24335953700811358,Low Risk
0280-XJGEX,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,1,6,2,102.78163265306122,1,0.9183673469387799,2,2,2,6,High,0.48658562745381806,Medium Risk
5129-JLPIS,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2686.05,0,0,6,1,107.44200000000001,3,-1.9420000000000073,1,2,2,5,High,0.39220507254304193,Medium Risk
3655-SNQYZ,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,7895.15,0,0,8,2,114.42246376811593,3,-1.1724637681159322,2,2,2,6,High,0.03584303548649981,Low Risk
8191-XWSZG,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,1022.95,0,0,1,2,19.672115384615385,0,0.9778846153846139,2,0,0,2,Low,0.012874164396165016,Low Risk
9959-WOFKT,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,7382.25,0,0,6,2,103.97535211267606,2,2.7246478873239397,2,2,2,6,High,0.049858253539918594,Low Risk
4190-MFLUW,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,1,3,3,52.835,2,2.365000000000002,0,1,1,2,Low,0.20244886603814904,Low Risk
4183-MYFRB,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1862.9,0,0,4,0,88.70952380952382,1,1.3404761904761813,1,2,1,4,Medium,0.45627828715121116,Medium Risk
8779-QRDMV,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,1,2,3,39.65,1,0.0,0,0,0,0,Low,0.7579690658352564,High Risk
1680-VDCWW,1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,202.25,0,0,1,3,16.854166666666668,0,2.945833333333333,0,0,0,0,Low,0.05996372690890845,Low Risk
1066-JKSGK,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,1,1,1,3,20.15,0,0.0,0,0,0,0,Low,0.2238203732477333,Low Risk
3638-WEABW,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3505.1,0,0,4,2,60.432758620689654,1,-0.5327586206896555,2,1,1,4,Medium,0.01618156091151537,Low Risk
6322-HRPFA,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2970.3,0,0,4,2,60.61836734693878,2,-1.0183673469387813,2,1,1,4,Medium,0.02831634251851614,Low Risk
6865-JZNKO,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,1530.6,0,0,3,1,51.019999999999996,1,4.280000000000001,1,1,1,3,Medium,0.09653400099336011,Low Risk
6467-CHFZW,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,1,1,5,1,101.04574468085106,0,-1.695744680851064,1,2,2,5,High,0.43261677863394415,Medium Risk
8665-UTDHZ,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,1,1,1,3,30.2,0,0.0,0,0,0,0,Low,0.49904015891103654,Medium Risk
5248-YGIJN,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,6369.45,0,0,8,2,88.46458333333334,3,1.7854166666666629,2,2,2,6,High,0.016071811221534452,Low Risk
8773-HHUOZ,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,1,1,3,0,64.3,0,0.4000000000000057,1,1,1,3,Medium,0.3273259019210873,Medium Risk
3841-NFECX,0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,6766.95,0,0,6,2,95.30915492957746,3,1.0408450704225345,2,2,2,6,High,0.032360421353970485,Low Risk
4929-XIHVW,1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,181.65,0,0,4,3,90.825,1,4.674999999999997,0,2,1,3,Medium,0.8071317189484805,High Risk
6827-IEAUQ,0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1874.45,0,0,5,1,69.42407407407407,3,-3.274074074074065,1,1,2,4,Medium,0.030159755358696916,Low Risk
7310-EGVHZ,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,20.2,0,0,1,3,20.2,0,0.0,0,0,0,0,Low,0.19127940227087326,Low Risk
3413-BMNZE,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,45.25,0,0,1,3,45.25,0,0.0,0,0,0,0,Low,0.42926112301899494,Medium Risk
6234-RAAPL,0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,7251.7,0,0,6,2,100.71805555555555,2,-0.8180555555555458,2,2,2,6,High,0.02060591493931146,Low Risk
6047-YHPVI,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,1,1,1,3,63.379999999999995,0,6.320000000000007,0,1,0,1,Low,0.6403565781984675,Medium Risk
6572-ADKRS,0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3548.3,0,0,2,1,77.13695652173914,1,-2.3369565217391397,1,1,0,2,Low,0.2856587876534239,Low Risk
5380-WJKOV,1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25,1,1,6,1,104.38970588235294,1,1.9602941176470523,1,2,2,5,High,0.5860097096109796,Medium Risk
8168-UQWWF,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,1,1,5,3,100.4909090909091,1,-2.640909090909105,0,2,2,4,Medium,0.7853241650494194,High Risk
8865-TNMNX,1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,475.7,0,0,2,3,47.57,0,1.9799999999999969,0,0,0,0,Low,0.13279149191890874,Low Risk
9489-DEDVP,0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4872.35,0,0,5,2,69.605,1,-0.40500000000000114,2,1,2,5,High,0.012458544465179468,Low Risk
9867-JCZSP,0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,418.25,0,0,1,0,24.602941176470587,0,-3.852941176470587,1,0,0,1,Low,0.03327096507238051,Low Risk
4671-VJLCL,0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4861.45,0,0,7,2,77.16587301587302,3,2.6841269841269764,2,1,2,5,High,0.014119958307948415,Low Risk
4080-IIARD,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,981.45,0,0,6,0,75.49615384615385,2,0.7038461538461576,0,1,2,3,Medium,0.20564196872243656,Low Risk
3714-NTNFO,0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3906.7,0,0,3,2,79.72857142857143,0,4.771428571428572,2,2,1,5,High,0.43392914933610605,Medium Risk
5948-UJZLF,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,97.0,0,0,2,3,48.5,0,0.75,0,0,0,0,Low,0.3693007462099587,Medium Risk
7760-OYPDY,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15,1,1,2,3,72.075,0,8.575000000000003,0,1,0,1,Low,0.736304863658719,High Risk
7639-LIAYI,1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,4217.8,0,0,6,2,81.11153846153846,2,-1.3615384615384585,2,1,2,5,High,0.030394115947016305,Low Risk
2954-PIBKO,0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,4254.1,0,0,5,2,61.6536231884058,3,2.496376811594203,2,1,2,5,High,0.006539635411353725,Low Risk
